
item_category,total_cnt,buy_cnt
6400,1674,34
4663,197,4
13742,197,4
8094,739,15
1421,16111,327
12693,1381,28
8259,543,11
7000,395,8
2153,7604,154
8724,544,11
5049,396,8
10016,99,2
13128,99,2
8983,99,2
4374,99,2
11422,99,2
12553,6784,137
805,645,13
5372,1191,24
10141,794,16
4435,4518,91
10826,298,6
5927,596,12
9081,199,4
12801,199,4
13908,698,14
10286,450,9
4515,200,4
12542,100,2
946,100,2
9956,50,1
4381,50,1
12210,100,2
3421,150,3
8011,100,2
6739,50,1
11964,50,1
6040,300,6
1301,200,4
6445,452,9
7506,201,4
13154,754,15
9605,1258,25
13939,151,3
6933,151,3
1943,302,6
2128,101,2
5821,101,2
3068,101,2
9384,910,18
9211,152,3
13729,1875,37
12219,812,16
10975,2234,44
12940,254,5
10569,1730,34
5578,967,19
9410,102,2
3097,51,1
6978,51,1
11271,51,1
11918,51,1
5768,51,1
3305,51,1
4343,408,8
8083,918,18
8738,51,1
8433,51,1
2160,918,18
13450,51,1
3894,51,1
5715,204,4
6788,102,2
2384,102,2
10517,51,1
8191,766,15
881,4603,90
9358,614,12
8998,256,5
11499,1948,38
5898,1385,27
1092,154,3
2241,308,6
1861,257,5
1407,257,5
2046,257,5
11589,3497,68
5165,1080,21
12479,2934,57
6654,309,6
10542,103,2
10080,103,2
5265,206,4
4214,103,2
8913,309,6
3948,103,2
13087,1186,23
3424,54325,1053
5229,568,11
11335,5373,104
10245,155,3
8425,155,3
9660,310,6
11610,982,19
8121,207,4
12649,259,5
13597,363,7
7405,1039,20
972,52,1
3507,52,1
9766,416,8
13662,52,1
4479,208,4
11603,156,3
9945,52,1
5104,52,1
11132,52,1
13715,52,1
4601,989,19
13323,677,13
11565,417,8
769,1512,29
7953,365,7
11412,574,11
3926,523,10
7079,3506,67
9412,18224,348
6580,681,13
8405,1048,20
5177,367,7
4250,3723,71
2443,472,9
11311,7141,136
13092,3940,75
6909,263,5
2859,895,17
9633,158,3
5879,1317,25
9278,2056,39
3475,9231,175
6680,264,5
11631,370,7
13186,4021,76
4333,13349,252
2681,106,2
11382,106,2
1594,53,1
10963,53,1
8953,53,1
12431,53,1
13518,53,1
291,53,1
13553,53,1
9483,53,1
4874,265,5
13669,53,1
3472,55024,1038
2373,1114,21
5558,956,18
1930,319,6
9650,319,6
8542,319,6
6603,266,5
232,2821,53
4510,852,16
6922,213,4
6924,1172,22
6828,6936,130
12504,267,5
1029,1763,33
11579,214,4
11419,321,6
540,107,2
3322,321,6
11146,107,2
885,214,4
2490,2681,50
6985,699,13
6540,484,9
240,431,8
2649,1832,34
1638,485,9
11883,701,13
7423,54,1
13521,324,6
5525,270,5
5859,54,1
3737,54,1
12342,540,10
12517,54,1
5913,162,3
8505,324,6
8005,108,2
7479,54,1
10682,54,1
7256,54,1
2087,108,2
10962,54,1
4573,973,18
7471,271,5
11974,488,9
5988,1900,35
14047,380,7
4092,543,10
618,816,15
9983,544,10
10033,490,9
7269,817,15
8442,327,6
4926,109,2
3166,109,2
2484,545,10
6709,109,2
4475,109,2
897,109,2
3937,491,9
12816,382,7
4405,2293,42
6630,273,5
4390,328,6
7572,11507,210
9276,2412,44
4455,1042,19
7094,165,3
10967,550,10
8195,55,1
6534,165,3
1033,55,1
3991,55,1
1568,110,2
13100,55,1
13923,220,4
1271,55,1
10598,55,1
13963,2366,43
7070,936,17
14006,881,16
3925,3361,61
1303,7771,141
10012,2591,47
3713,276,5
8539,221,4
11482,774,14
5077,664,12
5383,277,5
10762,1219,22
11273,1054,19
1731,111,2
13009,111,2
10257,278,5
12721,1614,29
3960,8739,157
3929,167,3
1183,1002,18
5183,167,3
3872,167,3
8141,1838,33
5443,56,1
12005,56,1
2131,56,1
10757,56,1
8706,56,1
1656,280,5
8683,112,2
2653,280,5
83,56,1
2624,112,2
12633,112,2
1728,56,1
8591,56,1
1062,56,1
6460,5324,95
11664,841,15
4128,393,7
12193,337,6
9720,10957,195
66,225,4
11127,225,4
2750,225,4
10862,732,13
4288,169,3
114,958,17
7673,902,16
9920,508,9
9190,113,2
11691,2656,47
3297,679,12
3738,170,3
5599,851,15
12365,454,8
7670,511,9
13440,284,5
11489,6309,111
12570,3014,53
257,455,8
13348,512,9
10662,3360,59
14033,6265,110
4387,1367,24
10,228,4
811,57,1
10230,114,2
11684,114,2
11264,57,1
8495,285,5
202,57,1
9133,57,1
3633,57,1
13012,57,1
5967,57,1
12181,57,1
5102,400,7
6035,343,6
13346,686,12
6862,286,5
10091,229,4
12560,1032,18
12860,172,3
11641,287,5
4880,632,11
7274,115,2
6694,230,4
1572,979,17
13378,2822,49
7299,7205,125
4961,807,14
8052,692,12
2936,1615,28
6287,2482,43
12112,231,4
11377,347,6
10889,347,6
6282,58,1
5495,58,1
13976,58,1
11313,58,1
2518,58,1
5999,58,1
8909,174,3
830,116,2
7267,58,1
13105,58,1
7055,58,1
7950,58,1
9520,348,6
10412,6224,107
5304,233,4
6059,1866,32
1686,1283,22
1960,350,6
11621,700,12
14018,585,10
10644,351,6
6667,117,2
1851,117,2
8999,293,5
10209,762,13
11097,645,11
930,176,3
12985,176,3
6101,939,16
2347,1763,30
13404,2586,44
4464,294,5
8854,3118,53
7143,1236,21
5581,412,7
6673,1593,27
12618,59,1
7800,118,2
6892,59,1
3525,59,1
11303,59,1
13655,118,2
11989,59,1
8613,649,11
12140,118,2
11045,118,2
2076,472,8
11931,59,1
1370,4017,68
8541,650,11
11140,5204,88
4230,1361,23
10846,1480,25
5115,296,5
3852,6102,103
13159,178,3
3378,5402,91
7095,475,8
9216,297,5
5836,119,2
3245,1190,20
11220,119,2
150,5236,88
7467,4169,70
8888,298,5
1584,775,13
6825,5008,84
9053,9778,164
11876,954,16
3321,5015,84
11365,657,11
7772,538,9
5711,598,10
1286,299,5
9017,4187,70
8609,539,9
6516,1978,33
11992,1019,17
8606,120,2
11009,120,2
11201,180,3
12807,60,1
2279,60,1
7690,721,12
6431,3186,53
11477,1325,22
11398,964,16
9576,2353,39
9331,302,5
7035,604,10
1838,55532,919
13038,5565,92
13475,121,2
2062,363,6
582,121,2
512,2420,40
10352,121,2
11765,121,2
9807,12715,210
8128,424,7
10177,424,7
3571,303,5
7551,2425,40
3382,182,3
4549,546,9
12550,607,10
12409,425,7
8077,7109,117
5468,19449,320
5454,7236,119
5600,2798,46
7273,1219,20
12978,61,1
4239,183,3
5218,61,1
6140,61,1
1329,489,8
13777,245,4
6794,3066,50
11114,736,12
6576,13686,223
7430,307,5
7401,1413,23
9839,246,4
5381,369,6
3530,123,2
3827,2462,40
11804,431,7
11327,2525,41
12423,185,3
12317,925,15
13152,6112,99
9042,247,4
13024,371,6
11965,991,16
2463,1674,27
7357,124,2
7415,620,10
2085,186,3
46,124,2
2785,62,1
11226,124,2
5255,186,3
488,62,1
6511,62,1
127,62,1
10620,248,4
520,62,1
9491,1055,17
8633,683,11
9540,1926,31
5692,1181,19
12170,8579,138
5522,1430,23
1486,1557,25
2197,187,3
9942,4427,71
10789,250,4
944,125,2
13637,125,2
10686,4754,76
13759,1189,19
7182,2003,32
1963,5769,92
1720,2383,38
6225,251,4
7549,18585,296
6489,942,15
4280,2261,36
9311,1319,21
3139,754,12
12972,503,8
2511,2893,46
5993,5409,86
493,1133,18
2708,378,6
6706,63,1
3618,126,2
4578,63,1
4259,63,1
2809,63,1
2984,63,1
11551,820,13
13500,20126,319
8877,67689,1072
7034,316,5
13090,316,5
8709,3864,61
3046,3801,60
14064,697,11
9829,3682,58
6936,11694,184
3708,445,7
4747,6422,101
940,2675,42
10823,255,4
13547,4592,72
7739,702,11
497,447,7
11616,895,14
12249,2624,41
728,448,7
7072,64,1
1412,192,3
6782,64,1
1467,64,1
6265,128,2
2683,2752,43
3915,128,2
11709,64,1
2996,64,1
3241,64,1
10134,192,3
4123,64,1
13642,64,1
5032,64,1
14060,64,1
231,7940,124
11401,769,12
6792,1092,17
1956,1671,26
12612,836,13
6455,193,3
8073,580,9
4101,258,4
6829,258,4
12698,129,2
13954,129,2
5842,1098,17
10814,646,10
6678,2327,36
11947,194,3
12680,1811,28
5920,259,4
390,518,8
11697,324,5
8148,389,6
8681,3314,51
1654,65,1
12402,260,4
5397,65,1
10135,4875,75
12908,65,1
9507,65,1
2309,65,1
9219,391,6
4391,326,5
12067,24060,369
1886,196,3
8916,523,8
953,327,5
8587,655,10
233,328,5
2158,1904,29
11888,197,3
7167,3880,59
1643,592,9
4962,2105,32
13300,329,5
3964,329,5
3975,5532,84
7911,2638,40
879,1385,21
8099,15770,239
11270,4224,64
8276,66,1
13519,66,1
5458,132,2
9151,198,3
12847,66,1
12584,1391,21
8068,795,12
12688,795,12
782,1922,29
5774,464,7
7530,730,11
6264,1063,16
4273,1661,25
4555,133,2
6021,133,2
5446,1665,25
9349,333,5
6440,333,5
1961,200,3
9597,667,10
12582,1669,25
8356,401,6
12913,1607,24
6289,67,1
3678,201,3
12835,134,2
9728,134,2
5205,67,1
10966,67,1
8535,67,1
5625,2152,32
3227,807,12
11647,202,3
10174,674,10
6121,2294,34
4860,135,2
12741,2637,39
6908,203,3
5308,677,10
13980,1626,24
5745,271,4
6744,1085,16
8004,1492,22
1288,407,6
7668,475,7
4422,747,11
3865,1087,16
13042,1563,23
12536,1971,29
3786,680,10
14005,68,1
5910,68,1
3345,68,1
4544,68,1
9362,68,1
11914,6937,102
3081,1977,29
8300,2252,33
6429,205,3
4010,205,3
13911,1368,20
8327,342,5
6120,137,2
722,548,8
10053,137,2
4898,7548,110
12621,1716,25
10073,206,3
10556,206,3
3732,206,3
460,551,8
10529,1517,22
2226,1586,23
10191,69,1
9350,207,3
3759,69,1
12216,69,1
3864,69,1
11000,69,1
12778,1382,20
4364,5736,83
874,24408,353
836,2006,29
12805,277,4
11952,1663,24
6479,208,3
9708,139,2
11465,278,4
11345,139,2
281,1044,15
13408,766,11
12738,279,4
10465,279,4
6423,907,13
4599,628,9
12968,1396,20
5579,909,13
11111,979,14
6867,70,1
9915,70,1
7151,70,1
11447,280,4
6957,980,14
2014,70,1
12999,140,2
6675,70,1
6950,70,1
2917,70,1
2747,140,2
292,18435,263
11702,912,13
7438,421,6
8685,1758,25
12458,211,3
2288,211,3
11845,211,3
9397,27228,387
10431,43203,614
5206,352,5
13028,1831,26
10799,986,14
12982,11627,165
11346,141,2
3777,141,2
7311,2189,31
12722,565,8
7655,424,6
3435,212,3
13361,212,3
11439,708,10
9232,3541,50
4670,3897,55
13698,1630,23
10984,24123,340
9471,71,1
8072,213,3
1139,71,1
5538,284,4
13055,213,3
6969,142,2
13195,71,1
6019,142,2
1895,71,1
2942,71,1
3575,71,1
13041,30326,427
11493,1492,21
2213,995,14
11757,11174,157
856,2207,31
6417,7622,107
14061,2066,29
838,999,14
13590,3212,45
12326,8782,123
169,1785,25
3090,3356,47
13263,500,7
772,143,2
9687,143,2
3956,3218,45
6964,1073,15
9221,787,11
10389,358,5
4111,5301,74
6762,215,3
6248,2296,32
10381,431,6
6997,503,7
9529,647,9
12189,15893,221
893,2518,35
3690,2087,29
3660,28653,398
4120,144,2
2517,216,3
10282,216,3
1901,72,1
3098,72,1
10519,360,5
9206,144,2
1119,72,1
1624,72,1
685,72,1
8573,72,1
13879,144,2
3430,216,3
2313,2954,41
12194,721,10
9895,649,9
7645,1947,27
13876,505,7
10464,1156,16
4188,217,3
10703,17904,247
6077,145,2
10615,145,2
1666,290,4
3431,13495,186
11625,1669,23
13769,1016,14
10659,1089,15
8595,1671,23
4190,6103,84
9195,436,6
13374,3052,42
10241,802,11
1334,292,4
3620,657,9
13685,146,2
9116,73,1
1008,73,1
11170,366,5
6793,1173,16
3647,220,3
5017,7266,99
7452,1469,20
1555,147,2
4656,662,9
6795,4855,66
983,3384,46
905,2285,31
7870,369,5
5273,11662,158
8291,40238,545
3942,13598,184
4172,370,5
102,74,1
8372,74,1
12768,74,1
6176,888,12
1505,296,4
11037,592,8
4763,74,1
581,74,1
7061,1334,18
8804,445,6
4269,32485,438
8760,297,4
6575,4309,58
4540,2229,30
6184,223,3
9102,2676,36
2198,372,5
11474,149,2
2535,1043,14
6478,447,6
11657,149,2
3335,149,2
5198,149,2
10609,2091,28
6363,747,10
8826,299,4
13322,374,5
4721,7344,98
6399,75,1
4414,75,1
402,75,1
4936,75,1
3927,75,1
1512,150,2
7734,75,1
9719,1050,14
13328,450,6
5705,75,1
2599,75,1
9031,75,1
4500,75,1
13795,75,1
12864,751,10
2260,603,8
7136,151,2
3400,151,2
2947,1362,18
5140,227,3
8698,454,6
6669,5374,71
7578,303,4
5604,986,13
11886,152,2
9218,152,2
7276,1140,15
4754,152,2
1556,152,2
6529,686,9
3502,5875,77
2886,229,3
5309,535,7
7015,153,2
11502,153,2
10939,536,7
8480,2146,28
484,2683,35
2346,230,3
3662,33544,437
11756,5532,72
8029,538,7
7791,4228,55
5143,77,1
6224,77,1
11654,77,1
9178,77,1
7454,539,7
11387,77,1
9378,77,1
4559,539,7
5637,385,5
11046,386,5
9598,7799,101
126,695,9
7849,309,4
1958,464,6
10730,155,2
8872,233,3
3798,27839,358
6109,389,5
12398,1946,25
10250,3270,42
6775,545,7
1199,1713,22
3358,1480,19
3727,779,10
7685,156,2
6881,78,1
8599,78,1
4044,78,1
7134,78,1
9553,78,1
3140,234,3
2888,78,1
9552,10305,132
11492,2812,36
11055,860,11
8436,391,5
5264,942,12
11089,314,4
9443,157,2
3176,2513,32
10364,2435,31
6267,1336,17
10466,393,5
1408,1888,24
3174,236,3
14024,1495,19
1965,315,4
7622,1182,15
11184,867,11
11278,552,7
4245,17669,224
7538,237,3
962,79,1
6883,79,1
10568,79,1
8202,474,6
5492,2607,33
1117,79,1
11837,1346,17
11699,317,4
2261,8882,112
3795,477,6
21,159,2

item_category,total_cnt,buy_cnt
9179,26639,335
7720,1751,22
9530,398,5
9061,717,9
1447,239,3
12690,638,8
11821,4392,55
4688,1118,14
12761,719,9
4832,1518,19
3180,160,2
8772,160,2
12890,80,1
12837,1120,14
9513,80,1
2192,80,1
5400,80,1
8468,160,2
8702,160,2
9698,80,1
5701,1763,22
6272,2169,27
8598,723,9
5942,482,6
1080,3462,43
7312,16425,204
10741,886,11
7435,242,3
2856,484,6
5354,1856,23
1002,405,5
12674,243,3
4512,81,1
11943,81,1
1904,81,1
6030,81,1
607,81,1
8339,81,1
7014,893,11
3060,325,4
7308,407,5
1834,326,4
5865,490,6
9614,26119,319
10107,410,5
8311,164,2
1193,164,2
3622,164,2
1491,410,5
7352,82,1
6918,82,1
9748,82,1
13339,82,1
6659,82,1
7618,1723,21
12380,1806,22
6804,739,9
2016,1479,18
11967,905,11
1602,247,3
4112,412,5
9334,2885,35
6243,165,2
12202,165,2
9542,165,2
889,11146,135
11135,2477,30
1109,248,3
4336,662,8
7876,18582,224
7745,83,1
5412,166,2
544,166,2
1394,581,7
10052,249,3
11295,332,4
1582,332,4
516,83,1
1495,83,1
5494,2078,25
9574,499,6
13288,5906,71
9790,10567,127
6579,250,3
9252,250,3
1124,500,6
12540,1000,12
8156,918,11
10735,918,11
5569,752,9
10402,585,7
13335,418,5
10108,251,3
12173,251,3
8860,11632,139
12097,2679,32
3670,1342,16
8159,1428,17
170,84,1
13477,84,1
4179,588,7
6764,84,1
5259,84,1
9424,84,1
2551,3868,46
10356,7737,92
9261,22128,263
7580,3198,38
674,926,11
11771,2189,26
586,421,5
3658,421,5
4164,337,4
9307,1770,21
3075,253,3
12008,253,3
9100,3631,43
11882,169,2
13866,338,4
620,169,2
3979,6259,74
4705,423,5
8179,7707,91
10379,678,8
13928,933,11
11639,594,7
13409,340,4
6915,510,6
1513,85,1
2929,510,6
9534,85,1
2693,85,1
4316,85,1
4282,1703,20
9413,2726,32
6084,2387,28
9569,11692,137
1815,171,2
6007,171,2
7362,171,2
11403,171,2
11047,1113,13
4839,257,3
10751,514,6
10304,1201,14
5987,429,5
2114,430,5
10673,775,9
9638,4306,50
939,11382,132
6750,345,4
9816,3451,40
9297,1812,21
614,259,3
3594,432,5
11214,173,2
883,1730,20
909,2077,24
3833,3722,43
4303,1472,17
9849,1646,19
5952,260,3
3682,1389,16
3940,8606,99
7297,1391,16
2939,1218,14
10082,174,2
9080,174,2
8310,87,1
9558,174,2
13350,87,1
6496,261,3
6768,87,1
13815,87,1
9872,958,11
7601,2526,29
10161,697,8
7305,610,7
10363,436,5
12465,786,9
5340,1136,13
13514,175,2
4949,1313,15
11833,613,7
8007,2453,28
8413,263,3
12506,526,6
8301,263,3
6422,263,3
11685,1408,16
12325,88,1
3198,264,3
1925,88,1
3765,88,1
7361,176,2
2107,88,1
2185,88,1
4927,264,3
8956,12069,137
705,1058,12
2753,441,5
5901,353,4
43,1148,13
13804,177,2
10322,1064,12
11808,266,3
8043,1774,20
10010,1331,15
8365,5058,57
11158,622,7
7653,978,11
7064,445,5
8810,178,2
12113,178,2
12628,89,1
1114,89,1
10713,267,3
13852,5173,58
1079,625,7
12964,804,9
606,1252,14
5805,179,2
2657,179,2
5276,1074,12
7009,179,2
5232,144200,1611
13636,448,5
10501,2690,30
11237,809,9
9385,90,1
11236,720,8
4704,1800,20
9170,90,1
7660,540,6
10527,180,2
5688,90,1
10341,270,3
4156,540,6
12648,90,1
2993,51549,572
13840,1262,14
13375,271,3
8930,6685,74
10593,814,9
9136,181,2
94,5795,64
9375,634,7
3275,5164,57
5553,4896,54
8182,635,7
7387,91,1
11960,91,1
4160,91,1
9477,91,1
8704,91,1
4097,2281,25
12659,365,4
12107,274,3
10961,21576,236
13863,640,7
7880,5763,63
12143,366,4
7121,183,2
4728,183,2
8132,5678,62
8484,1374,15
2659,733,8
11770,367,4
4450,459,5
10215,459,5
5477,2755,30
10821,735,8
3271,4504,49
4079,92,1
7543,92,1
3859,92,1
9239,92,1
4159,1196,13
11580,92,1
2024,276,3
13463,92,1
10588,644,7
11790,460,5
10523,18872,205
6888,922,10
8850,461,5
11840,2213,24
3215,369,4
8905,277,3
11623,46020,495
1120,279,3
13957,93,1
11103,5399,58
7834,838,9
10467,466,5
8696,280,3
2298,2055,22
4569,187,2
11721,3927,42
4309,187,2
13338,25017,267
10503,375,4
6219,563,6
9579,10327,110
10564,376,4
7152,94,1
12975,94,1
8967,1034,11
11644,753,8
5899,1414,15
5884,283,3
8216,1132,12
5635,1038,11
3898,6147,65
1640,662,7
5230,284,3
13381,10917,115
3771,95,1
7347,95,1
9682,190,2
560,285,3
4327,286,3
3487,477,5
13922,859,9
1198,1432,15
9438,382,4
3428,191,2
8874,18487,193
12973,7480,78
662,96,1
2754,4900,51
6986,3075,32
418,385,4
6745,674,7
2656,5784,60
1501,193,2
4397,193,2
13973,483,5
1159,2319,24
13774,871,9
3099,31762,328
6518,1163,12
12031,291,3
8035,97,1
7224,97,1
11549,485,5
11806,97,1
1430,97,1
11060,485,5
2230,97,1
13372,97,1
9722,389,4
11622,2336,24
12822,877,9
4256,195,2
8431,293,3
6256,4987,51
6689,4794,49
5881,1273,13
12184,6565,67
13394,294,3
1936,98,1
840,98,1
7242,294,3
1489,98,1
8648,98,1
10864,589,6
7602,491,5
13725,393,4
8272,688,7
6010,295,3
108,3049,31
1518,7714,78
4539,989,10
12056,297,3
9812,198,2
4638,297,3
3615,99,1
1821,99,1
5254,198,2
7764,298,3
13713,2487,25
13179,199,2
8782,199,2
10920,4492,45
2688,200,2
4004,200,2
9900,100,1
669,100,1
2637,200,2
1578,100,1
13797,200,2
4322,3204,32
1477,1604,16
6327,14946,149
13050,2510,25
7032,2110,21
1353,201,2
10722,3219,32
2960,302,3
7131,604,6
4213,5638,56
10271,7467,74
2746,101,1
2671,202,2
14066,202,2
11413,101,1
8093,101,1
4999,6780,67
10460,6579,65
12480,304,3
47,1014,10
11566,406,4
887,4874,48
10983,1321,13
8864,15853,156
10797,407,4
12998,1732,17
13761,510,5
625,102,1
6348,204,2
12580,306,3
8445,102,1
7963,307,3
7711,1742,17
13287,205,2
6133,615,6
9191,1128,11
8765,3077,30
9762,4723,46
11564,1440,14
12290,103,1
2695,103,1
7436,103,1
5022,103,1
6559,103,1
551,103,1
12507,103,1
987,1649,16
8695,516,5
2633,621,6
10565,207,2
7440,20600,199
5438,622,6
4025,1556,15
9090,1557,15
4310,1142,11
6796,624,6
9196,104,1
10518,104,1
10916,104,1
8608,208,2
6493,104,1
12445,104,1
9707,104,1
9187,104,1
3299,104,1
6821,417,4
7076,313,3
12386,1881,18
3391,209,2
2129,314,3
9516,86683,828
3254,210,2
344,105,1
10315,735,7
3425,105,1
10022,105,1
8145,420,4
13415,525,5
6380,105,1
1267,2206,21
6562,1051,10
9789,2102,20
6402,4101,39
6226,15669,149
3464,2736,26
1985,316,3
1797,8855,84
10265,5064,48
11966,211,2
1190,1055,10
5908,12048,114
9130,6450,61
2015,423,4
2513,51836,490
11663,635,6
5248,424,4
12948,530,5
4240,106,1
12732,106,1
3756,212,2
10048,318,3
8655,106,1
7971,1592,15
7811,2654,25
976,639,6
10616,853,8
1471,853,8
7104,427,4
970,427,4
12627,748,7
10258,8238,77
1709,107,1
10728,107,1
6506,214,2
6982,107,1
5595,214,2
4383,107,1
5204,18545,173
8661,536,5
536,215,2
10753,6129,57
9896,1829,17
7961,970,9
10112,647,6
6797,108,1
10045,108,1
1254,108,1
140,108,1
7766,2164,20
3673,57804,534
5269,976,9
6228,7267,67
12859,217,2
8491,1736,16
12261,2822,26
12683,3366,31
849,1630,15
4264,23093,212
1799,327,3
13462,109,1
13538,327,3
3269,109,1
13223,218,2
2256,109,1
9847,6329,58
855,437,4
3170,219,2
11038,987,9
9541,19318,176
6230,220,2
13187,110,1
8203,110,1
5147,110,1
9298,3638,33
259,331,3
12368,6513,59
8711,221,2
5556,111,1
13035,777,7
13665,111,1
12573,111,1
12810,111,1
4225,111,1
4768,334,3
13164,668,6
11536,334,3
10418,334,3
12172,3676,33
4228,780,7
825,223,2
337,893,8
6114,335,3
2177,1675,15
4210,1564,14
3194,671,6
9248,224,2
1791,112,1
10392,97029,866
9503,4595,41
9101,1346,12
6610,225,2
5051,901,8
11062,1577,14
8675,790,7
10194,113,1
10886,339,3
7096,339,3
120,678,6
6144,113,1
9948,1130,10
11945,113,1
13744,113,1
1810,3845,34
591,453,4
1324,1246,11
9618,3854,34
2831,907,8
6512,35164,310
12930,227,2
5930,1249,11
4913,341,3
11611,798,7
5573,114,1
7890,114,1
3003,114,1
9666,114,1
4554,228,2
1599,800,7
8951,2172,19
11508,2517,22
4954,2403,21
2564,458,4
4371,2180,19
13260,115,1
8627,575,5
9913,460,4
8047,230,2
6810,115,1
8432,2077,18
725,1617,14
354,925,8
12099,347,3
451,9733,84
10055,116,1
4819,116,1
13295,232,2
1365,116,1
7307,232,2
12220,813,7
4531,1511,13
11797,3261,28
3667,350,3
10275,7942,68
14023,701,6
12527,117,1
9982,117,1
6195,117,1
13683,117,1
12546,117,1
11522,117,1
8763,117,1
10129,117,1
10678,1522,13
5801,1646,14
8665,6827,58
11650,825,7
5928,354,3
13294,118,1
818,118,1
4504,118,1
1537,118,1
7864,118,1
6168,1421,12
1048,1540,13
5677,237,2
7329,712,6
590,1545,13
10590,8439,71
2284,27841,234
6771,119,1
10274,357,3
10075,119,1
5981,2023,17
903,238,2
6813,238,2
13773,1908,16
12245,1670,14
10973,1909,16
8849,2987,25
10976,359,3
3829,359,3
7593,120,1
11161,120,1
1431,120,1
791,120,1
2605,2287,19
2312,1084,9
12551,2411,20
10817,603,5
12100,2774,23
8583,3019,25
5489,726,6
9313,363,3
7363,121,1
11428,121,1
8075,485,4
2159,243,2
12790,2917,24
5889,365,3
7260,365,3
8280,2073,17
1626,122,1
5862,122,1
13492,244,2
8617,244,2
1313,488,4
8138,122,1
7365,610,5
4844,366,3
1121,43752,358
11481,1100,9
11889,245,2
1116,2083,17
10925,368,3
6091,1473,12
11296,8110,66
13599,4181,34
6595,738,6
7785,123,1
9456,123,1
4136,123,1
7755,369,3
10715,492,4
11824,71109,578
242,16131,131
3695,617,5
11981,6294,51
10844,247,2
56,2470,20
7980,991,8
413,124,1
3775,124,1
11825,124,1
5590,248,2
8350,248,2
1427,8186,66
5201,5458,44
922,746,6
5611,498,4
8807,249,2
7322,4862,39
1710,624,5
2396,749,6
13730,2248,18
11731,500,4
4679,375,3
3478,125,1
5363,125,1
12630,28629,229
8095,27263,218
5320,1879,15
7929,6392,51
6643,502,4
9511,251,2
8285,502,4
7817,502,4
8385,251,2
3723,1632,13
508,46608,371
9881,1508,12
12229,629,5
3599,1007,8
1870,252,2
4074,504,4
1580,126,1
5959,126,1
8986,11472,91
13798,631,5
1250,1262,10
3628,73705,583
3527,253,2
5513,6593,52
107,7862,62
2678,127,1
4000,381,3
11916,254,2
7354,1272,10
733,4198,33
8515,1145,9
5073,383,3
3637,639,5
10874,128,1
2615,128,1
11379,3460,27
10532,641,5
2453,644,5
4356,129,1
718,129,1
6824,2068,16
10901,18623,144
4437,647,5
2170,1942,15
10193,259,2
8521,907,7
10661,34603,267
10297,389,3
2048,2340,18
11200,130,1
8234,1171,9
5388,28520,219
6296,261,2
7584,261,2
2933,392,3
3159,392,3
11957,392,3
552,63879,488
12666,131,1
4129,262,2
7951,1834,14
9930,131,1
13701,524,4
6175,131,1
9224,1444,11
3181,263,2
1561,1052,8
1083,69782,530
4902,1055,8
11205,132,1
11742,396,3
6866,132,1
12345,6996,53
715,132,1
2050,529,4
10290,7406,56
3947,530,4
6940,265,2
3189,398,3
11652,25388,191
3602,133,1
14035,266,2
10078,133,1
888,2267,17
12321,667,5
11793,267,2
436,13657,102
6450,134,1
599,670,5
4035,134,1
13848,268,2
10309,134,1
5962,1072,8
5403,134,1
11360,134,1
1650,3221,24
784,3221,24
5763,537,4
164,269,2
1392,3903,29
2801,1077,8
12328,22404,166
11836,135,1
1354,135,1
11933,135,1
12441,4328,32
8217,271,2
9693,6371,47
2370,407,3
12615,2036,15
10599,1088,8
13860,136,1
907,136,1
8676,136,1
4584,9521,70
93,409,3
11618,5049,37
4127,1638,12
2211,273,2
13763,3968,29
1144,958,7
9773,137,1
7841,823,6
5146,275,2
12009,688,5
4191,688,5
9893,965,7
12280,276,2
11321,138,1
8517,276,2
1337,4148,30
5824,968,7
11204,415,3
1610,969,7
1451,1247,9
5329,1386,10
12157,555,4
6481,833,6
2589,278,2
6542,695,5
13560,139,1
12936,139,1
10396,278,2
11014,139,1
3593,139,1
7344,13070,94
11406,28654,206
4008,7936,57
7985,2789,20
8161,14503,104
13988,279,2
3528,3492,25
4605,5172,37
3064,112805,806
7897,140,1
12731,140,1
5351,1962,14
6677,1404,10
11955,704,5
1238,423,3
7081,282,2
807,564,4
6247,2122,15
1990,2267,16
3056,2693,19
5350,142,1
5802,426,3
11811,142,1
3236,284,2
1519,5987,42
1485,286,2
6368,143,1
9862,143,1
2834,143,1
2202,860,6
5647,430,3
10524,3442,24
7781,287,2
8268,287,2
5729,574,4
4883,718,5
13104,431,3
11632,431,3
316,3021,21
2667,3168,22
13292,288,2
34,144,1
11434,144,1
12538,433,3
13509,289,2
3005,289,2
4588,3038,21
10137,1740,12
13222,290,2
10600,580,4
3770,1016,7
13619,3927,27
1483,7718,53
1242,1311,9
397,437,3
12037,583,4
4076,4373,30
13943,146,1
1770,438,3
11818,146,1
6855,292,2
6882,146,1
410,1168,8
2479,1169,8
6541,5261,36
7939,6139,42
4561,2635,18
11076,1465,10
8084,293,2
514,293,2
7582,5280,36
1204,734,5
4066,147,1
637,147,1
7873,147,1
1279,147,1
11090,147,1
12091,147,1
8664,7208,49
2899,442,3
10223,26387,179
10085,1035,7
4212,148,1
9340,296,2
13066,1333,9
2029,3852,26
7966,1482,10
4706,741,5
8624,297,2
11307,5502,37
13280,5058,34
10839,893,6
12796,149,1
5761,745,5
